1_ortho;4_cgram;5_genre
a;NOM;m
a;AUX;
a;VER;
a capella;ADV;
a cappella;ADV;
a contrario;ADV;
a fortiori;ADV;
a giorno;ADV;
a jeun;ADV;
a l'instar;PRE;
a posteriori;ADV;
a priori;ADV;
a priori;NOM;m
aa;NOM;m
ab absurdo;ADV;
ab initio;ADV;
ab ovo;ADV;
abaca;NOM;m
abaissa;VER;
abaissai;VER;
abaissaient;VER;
abaissait;VER;
abaissant;ADJ;m
abaissant;VER;
abaissante;ADJ;f
abaisse;NOM;f
abaisse;VER;
abaisse-langue;NOM;m
abaissement;NOM;m
abaissent;VER;
abaisser;VER;
abaissera;VER;
abaisserai;VER;
abaisseraient;VER;
abaisserais;VER;
abaisserait;VER;
abaisses;VER;
abaissez;VER;
abaissons;VER;
abaissèrent;VER;
abaissé;VER;m
abaissé;ADJ;m
abaissée;VER;f
abaissée;ADJ;f
abaissées;VER;f
abaissées;ADJ;f
abaissés;VER;m
abaissés;ADJ;m
abalone;NOM;m
abalones;NOM;m
abandon;NOM;m
abandonna;VER;
abandonnai;VER;
abandonnaient;VER;
abandonnais;VER;
abandonnait;VER;
abandonnant;VER;
abandonnas;VER;
abandonne;VER;
abandonnent;VER;
abandonner;VER;
abandonnera;VER;
abandonnerai;VER;
abandonneraient;VER;
abandonnerais;VER;
abandonnerait;VER;
abandonneras;VER;
abandonnerez;VER;
abandonneriez;VER;
abandonnerions;VER;
abandonnerons;VER;
abandonneront;VER;
abandonnes;VER;
abandonneurs;NOM;m
abandonnez;VER;
abandonniez;VER;
abandonnions;VER;
abandonnique;ADJ;
abandonnons;VER;
abandonnâmes;VER;
abandonnât;VER;
abandonnèrent;VER;
abandonné;VER;m
abandonné;ADJ;m
abandonnée;VER;f
abandonnée;ADJ;f
abandonnées;VER;f
abandonnées;ADJ;f
abandonnés;VER;m
abandonnés;ADJ;m
abandons;NOM;m
abaque;NOM;m
abasourdi;ADJ;m
abasourdi;VER;m
abasourdie;ADJ;f
abasourdie;VER;f
abasourdir;VER;
abasourdis;ADJ;m
abasourdis;VER;m
abasourdissant;ADJ;m
abasourdissants;ADJ;m
abat;NOM;m
abat;VER;
abat-jour;NOM;m
abat-son;NOM;m
abatage;NOM;m
abatis;NOM;m
abats;NOM;m
abats;VER;
abattage;NOM;m
abattages;NOM;m
abattaient;VER;
abattais;VER;
abattait;VER;
abattant;NOM;m
abattant;VER;
abattants;NOM;m
abatte;VER;
abattement;NOM;m
abattements;NOM;m
abattent;VER;
abattes;VER;
abatteur;NOM;m
abatteurs;NOM;m
abattez;VER;
abattiez;VER;
abattions;VER;
abattirent;VER;
abattis;NOM;m
abattis;VER;
abattit;VER;
abattoir;NOM;m
abattoirs;NOM;m
abattons;VER;
abattra;VER;
abattrai;VER;
abattraient;VER;
abattrais;VER;
abattrait;VER;
abattras;VER;
abattre;VER;
abattrez;VER;
abattriez;VER;
abattrons;VER;
abattront;VER;
abattu;VER;m
abattu;ADJ;m
abattu;NOM;m
abattue;VER;f
abattue;ADJ;f
abattues;VER;f
abattues;ADJ;f
abattures;NOM;f
abattus;VER;m
abattus;ADJ;m
abattus;NOM;m
abbatial;ADJ;m
abbatiale;ADJ;f
abbatiale;NOM;f
abbatiales;ADJ;f
abbaye;NOM;f
abbayes;NOM;f
abbesse;NOM;f
abbesses;NOM;f
abbé;NOM;m
abbés;NOM;m
abc;NOM;m
abcès;NOM;m
abdication;NOM;f
abdications;NOM;f
abdiqua;VER;
abdiquai;VER;
abdiquaient;VER;
abdiquais;VER;
abdiquait;VER;
